,count,s_0,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21,s_22,s_23,s_24,s_25,s_26,s_27,s_28,s_29,s_30,s_31,s_32,s_33,s_34,s_35,s_36,s_37,s_38,s_39,s_40,s_41,s_42,s_43,s_44,s_45,s_46,s_47,s_48,s_49,s_50,s_51,s_52,s_53,s_54,s_55,s_56,s_57,s_58,s_59,s_60,s_61,s_62,s_63,temperature,humidity
0,0,25513.7,25504.0,1794.1,1793.6,1794.0,1175.7,1175.7,1176.1,8431.3,8434.3,8432.0,1732.6,1732.4,1733.1,4310.4,4310.3,94160.4,94376.8,12762.3,12758.1,12756.1,2384.5,2386.8,2388.0,1415.3,1415.2,1415.2,2266.2,2265.6,2266.9,14212.5,14215.6,21592.9,21597.8,4567.6,4568.3,4567.9,1915.4,1916.0,1917.1,5905.3,5906.0,5905.5,2321.4,2321.4,2321.9,63575.6,63605.0,5043.7,5042.9,1491.6,1491.0,1491.2,4414.5,4416.0,4416.1,1326.9,1326.6,1326.7,1485.8,1485.9,1485.9,4536.4,4535.6,29.840000,21.049999
1,1,25500.0,25514.4,1794.7,1794.3,1794.9,1176.3,1176.1,1176.5,8429.7,8432.7,8432.7,1731.3,1731.8,1732.3,4310.5,4310.7,94100.4,94443.0,12761.3,12768.1,12769.9,2384.7,2387.0,2388.9,1415.2,1415.1,1415.2,2267.3,2267.2,2267.7,14212.8,14214.5,21597.8,21591.3,4569.1,4567.6,4566.6,1914.9,1916.0,1916.8,5906.2,5906.1,5904.8,2321.7,2321.6,2322.1,63540.2,63659.8,5044.3,5044.8,1491.8,1491.1,1491.1,4415.2,4415.5,4415.7,1326.9,1326.0,1325.8,1486.4,1485.7,1486.5,4540.0,4539.3,29.850000,20.719999
2,2,25503.5,25522.8,1795.2,1794.5,1794.7,1175.9,1176.0,1176.2,8425.1,8429.1,8429.6,1732.0,1731.5,1732.4,4310.9,4310.6,94246.1,94231.4,12754.5,12764.3,12765.9,2384.2,2386.2,2388.4,1414.9,1414.8,1414.9,2266.4,2266.8,2266.8,14211.2,14214.8,21588.5,21600.0,4566.9,4565.9,4566.6,1915.2,1915.6,1916.5,5906.1,5905.4,5905.4,2321.4,2321.3,2322.0,63527.9,63471.2,5045.4,5044.7,1491.4,1490.5,1490.8,4415.0,4416.0,4416.2,1326.7,1326.1,1326.3,1486.3,1485.7,1486.3,4539.5,4540.2,29.860001,20.450001
3,3,25510.5,25507.8,1795.9,1795.6,1795.5,1176.4,1176.3,1176.7,8426.3,8428.4,8428.8,1731.8,1732.1,1732.0,4310.6,4310.6,94244.6,94260.8,12760.9,12761.2,12765.3,2385.4,2387.2,2388.8,1414.8,1414.7,1414.7,2265.9,2265.6,2266.3,14214.1,14213.7,21595.2,21605.7,4567.9,4568.0,4567.8,1915.4,1916.2,1917.0,5905.0,5903.5,5905.3,2321.4,2321.4,2321.7,63492.5,63655.8,5045.5,5044.9,1491.3,1490.6,1490.6,4414.2,4413.9,4414.5,1326.5,1325.7,1326.1,1486.6,1486.1,1486.5,4540.7,4540.4,29.879999,20.330000
4,4,25496.0,25516.7,1796.0,1795.7,1795.9,1176.2,1176.3,1176.7,8425.4,8427.9,8426.4,1731.9,1731.6,1731.8,4311.0,4310.7,94123.0,94496.1,12766.4,12766.0,12768.2,2385.6,2387.4,2388.9,1414.5,1414.4,1414.5,2266.8,2266.3,2267.2,14213.2,14216.8,21585.2,21580.3,4568.6,4567.3,4566.4,1915.6,1915.8,1917.0,5903.3,5903.5,5903.8,2321.2,2320.7,2321.7,63436.0,63558.6,5045.5,5045.1,1491.4,1490.9,1491.0,4413.6,4412.9,4413.2,1326.6,1325.9,1325.9,1487.0,1486.1,1486.7,4540.6,4538.2,29.860001,20.320000
5,5,25522.6,25506.5,1796.8,1796.1,1796.5,1176.1,1176.1,1176.5,8423.4,8426.0,8425.7,1731.1,1731.2,1731.5,4310.9,4310.8,94873.6,94345.2,12768.1,12764.8,12770.1,2383.5,2385.6,2387.5,1414.1,1413.9,1414.0,2266.8,2266.9,2267.3,14210.8,14218.4,21580.3,21573.7,4568.4,4566.8,4567.7,1915.0,1915.2,1916.2,5899.5,5898.6,5899.1,2319.4,2319.6,2319.9,63495.9,63515.5,5047.1,5047.4,1491.6,1490.7,1490.9,4413.0,4412.9,4413.3,1325.8,1325.3,1325.3,1486.4,1485.9,1486.1,4539.9,4540.2,29.860001,20.270000
6,6,25516.0,25521.6,1796.9,1796.3,1796.5,1176.0,1176.0,1176.4,8422.1,8423.4,8425.2,1731.6,1730.9,1731.4,4311.3,4311.4,94190.4,94321.0,12763.7,12761.8,12769.3,2384.1,2386.1,2388.0,1414.0,1413.8,1414.0,2266.5,2266.2,2267.0,14215.0,14215.7,21593.1,21591.6,4567.5,4567.5,4567.7,1915.3,1915.7,1916.7,5902.2,5902.1,5902.5,2319.7,2320.1,2320.8,63525.2,63614.0,5048.2,5047.9,1492.0,1490.9,1491.5,4412.1,4412.4,4413.9,1326.1,1325.5,1325.4,1486.7,1486.0,1486.7,4541.8,4542.6,29.850000,20.320000
7,7,25494.6,25501.6,1796.9,1796.5,1796.9,1175.7,1175.8,1176.1,8420.8,8421.0,8421.5,1730.0,1729.9,1730.5,4310.6,4310.7,94419.5,94150.1,12762.2,12758.4,12770.6,2383.4,2385.7,2386.9,1413.5,1413.5,1413.5,2265.9,2266.1,2266.4,14217.7,14217.0,21578.6,21575.2,4565.2,4564.7,4565.7,1915.2,1915.5,1916.6,5894.9,5893.9,5893.6,2318.2,2318.5,2318.5,63415.4,63533.9,5047.5,5048.5,1491.1,1490.4,1490.5,4406.5,4407.4,4407.3,1325.5,1324.9,1325.1,1485.7,1485.4,1485.5,4542.0,4541.6,29.879999,20.320000
8,8,25495.3,25492.1,1795.4,1794.9,1795.1,1175.2,1175.2,1175.7,8415.8,8416.8,8416.5,1729.4,1729.5,1730.1,4309.9,4309.8,94310.7,94318.0,12747.8,12756.9,12757.3,2383.3,2385.7,2387.3,1413.4,1413.3,1413.4,2265.3,2266.2,2266.2,14218.1,14219.3,21587.5,21593.3,4562.0,4563.7,4563.3,1916.3,1916.5,1917.5,5895.7,5894.6,5895.0,2318.0,2318.2,2318.6,63634.4,63490.9,5047.3,5047.5,1491.6,1490.9,1490.9,4404.5,4403.6,4404.0,1325.1,1324.5,1325.1,1486.7,1486.3,1486.7,4540.8,4541.3,29.860001,20.420000
9,9,25472.6,25490.3,1793.5,1793.1,1793.6,1174.6,1174.6,1175.1,8408.7,8410.2,8411.5,1726.2,1725.9,1727.0,4306.8,4307.8,94359.2,94455.6,12759.8,12765.0,12764.3,2383.6,2385.5,2387.2,1412.8,1412.7,1412.8,2263.7,2263.4,2264.3,14211.7,14219.7,21560.3,21578.1,4556.1,4555.6,4556.0,1915.3,1915.7,1916.6,5876.8,5876.1,5877.1,2312.2,2312.3,2312.9,63376.5,63475.9,5046.8,5046.5,1491.1,1490.4,1490.6,4402.6,4402.4,4402.9,1325.4,1324.5,1324.7,1487.2,1487.2,1487.7,4540.7,4541.6,29.860001,20.959999
